City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,109,Georgetown,MY,5.4112,100.3354,76.93,90,20,0.0,light rain
110,110,Boulsa,BF,12.6675,-0.5758,86.31,55,87,6.42,overcast clouds
111,111,Chikhli,IN,20.35,76.25,74.95,90,100,12.21,light rain
112,112,Hithadhoo,MV,-0.6,73.0833,83.52,68,68,4.12,broken clouds
113,113,Chernyshevskiy,RU,63.0128,112.4714,49.59,70,78,1.5,broken clouds
114,114,Kasempa,ZM,-13.4584,25.8338,89.64,11,11,6.17,few clouds
115,115,Ahipara,NZ,-35.1667,173.1667,54.37,67,89,16.31,overcast clouds
116,116,Pochutla,MX,15.7432,-96.4661,84.02,66,51,1.79,broken clouds
117,117,Synya,RU,65.3718,58.0387,39.02,91,98,7.65,overcast clouds
118,118,Kodiak,US,57.79,-152.4072,49.84,90,100,0.81,light rain
119,119,Fairbanks,US,64.8378,-147.7164,47.3,86,1,0.0,clear sky
120,120,Chuy,UY,-33.6971,-53.4616,57.07,95,100,18.86,overcast clouds
121,121,Ostrovnoy,RU,68.0531,39.5131,42.3,78,100,6.53,overcast clouds
122,122,Bengkulu,ID,-3.8004,102.2655,75.29,88,80,4.03,broken clouds
123,123,Iqaluit,CA,63.7506,-68.5145,44.44,59,98,9.28,overcast clouds
124,124,Camocim,BR,-2.9022,-40.8411,89.58,51,50,12.17,scattered clouds
125,125,Hofn,IS,64.2539,-15.2082,49.95,78,9,7.07,clear sky
126,126,Mount Isa,AU,-20.7333,139.5,69.57,17,0,12.66,clear sky
127,127,Talnakh,RU,69.4865,88.3972,49.15,76,95,6.55,overcast clouds
128,128,Lebu,CL,-37.6167,-73.65,52.74,67,0,7.05,clear sky
129,129,Malakal,SS,9.5334,31.6605,73.65,93,100,4.61,overcast clouds
130,130,Xiamen,CN,24.4798,118.0819,80.69,86,22,8.12,light rain
131,131,Salta,AR,-24.7859,-65.4117,52.57,65,99,3.0,overcast clouds
132,132,Amahai,ID,-3.3333,128.9167,76.82,91,61,6.33,broken clouds
133,133,Makakilo City,US,21.3469,-158.0858,75.52,74,1,5.75,clear sky
134,134,Avarua,CK,-21.2078,-159.775,75.25,88,75,13.8,broken clouds
135,135,Chornobayivka,UA,46.6941,32.5537,77.29,25,0,2.24,clear sky
136,136,Airai,TL,-8.9266,125.4092,57.29,87,64,4.34,broken clouds
137,137,Sibolga,ID,1.7427,98.7792,74.55,89,100,3.04,overcast clouds
138,138,Rawson,AR,-43.3002,-65.1023,53.89,94,75,4.61,broken clouds
139,139,Japura,ID,-0.3167,102.35,73.74,91,54,2.06,light rain
140,140,Yellowknife,CA,62.456,-114.3525,47.17,72,100,5.19,overcast clouds
141,141,Barrow,US,71.2906,-156.7887,41.02,87,1,9.22,clear sky
142,142,Natchez,US,31.5604,-91.4032,82.62,61,1,0.0,clear sky
143,143,Okhotsk,RU,59.3833,143.3,48.97,89,100,8.21,light rain
144,144,Qasigiannguit,GL,68.8193,-51.1922,37.65,69,100,1.81,overcast clouds
