City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Iqaluit,CA,2021-09-05 21:17:39,63.7506,-68.5145,42.53,87,20,8.05
115,Ilhabela,BR,2021-09-05 21:17:39,-23.7781,-45.3581,70.16,91,7,5.17
116,Pacific Grove,US,2021-09-05 21:17:40,36.6177,-121.9166,99.16,75,1,1.01
117,Half Moon Bay,US,2021-09-05 21:17:11,37.4636,-122.4286,98.74,57,1,8.05
118,Hithadhoo,MV,2021-09-05 21:17:40,-0.6,73.0833,82.18,73,61,10.36
119,Westerland,DE,2021-09-05 21:17:40,54.9079,8.3033,57.18,87,41,6.91
120,Dingle,PH,2021-09-05 21:17:41,10.9995,122.6711,75.36,90,100,1.45
121,Dudinka,RU,2021-09-05 21:17:41,69.4058,86.1778,52.11,67,82,21.25
122,Severo-Kurilsk,RU,2021-09-05 21:17:42,50.6789,156.125,53.11,88,60,10.83
123,Upernavik,GL,2021-09-05 21:17:42,72.7868,-56.1549,36.01,99,100,16.98
124,Sao Joao Da Barra,BR,2021-09-05 21:17:42,-21.6403,-41.0511,75.29,87,58,8.61
125,Bredasdorp,ZA,2021-09-05 21:17:43,-34.5322,20.0403,51.12,62,100,9.22
126,General Roca,AR,2021-09-05 21:17:43,-39.0333,-67.5833,72.0,29,23,17.47
127,Lorengau,PG,2021-09-05 21:17:44,-2.0226,147.2712,82.09,75,69,6.53
128,Port Alfred,ZA,2021-09-05 21:17:44,-33.5906,26.891,59.52,78,19,10.18
129,Bathsheba,BB,2021-09-05 21:17:45,13.2167,-59.5167,83.01,78,40,6.91
130,Shieli,KZ,2021-09-05 21:17:46,44.1667,66.75,67.8,33,0,12.75
131,Whitefish,US,2021-09-05 21:16:00,48.4111,-114.3376,85.75,28,1,14.97
132,Norman Wells,CA,2021-09-05 21:17:46,65.282,-126.8329,60.84,82,90,6.91
133,Kodiak,US,2021-09-05 21:17:47,57.79,-152.4072,55.92,82,99,1.88
134,Luau,AO,2021-09-05 21:17:47,-10.7073,22.2247,72.63,39,6,2.48
135,Baiao,BR,2021-09-05 21:17:48,-2.7906,-49.6717,82.2,70,79,3.71
136,Manono,CD,2021-09-05 21:17:48,-7.3,27.4167,80.17,36,3,1.23
137,Huarmey,PE,2021-09-05 21:17:48,-10.0681,-78.1522,67.03,73,68,10.8
138,Surab,PK,2021-09-05 21:17:49,28.4914,66.2585,74.48,39,3,3.27
139,Portland,US,2021-09-05 21:14:26,45.5234,-122.6762,87.42,50,20,3.0
140,Saskylakh,RU,2021-09-05 21:17:49,71.9167,114.0833,50.76,88,82,8.21
141,Sechura,PE,2021-09-05 21:17:50,-5.5569,-80.8222,74.93,58,22,17.92
142,Sfantu Gheorghe,RO,2021-09-05 21:17:50,45.8667,25.7833,54.27,80,67,5.1
143,Lebrija,ES,2021-09-05 21:17:51,36.9208,-6.0753,84.7,44,0,9.22
144,Vila Do Maio,CV,2021-09-05 21:17:51,15.1333,-23.2167,79.59,87,48,9.13
145,Pemberton,CA,2021-09-05 21:17:52,50.3164,-122.8027,69.49,51,100,5.35
146,Hilo,US,2021-09-05 21:14:57,19.7297,-155.09,77.4,89,90,4.61
147,Cidreira,BR,2021-09-05 21:17:52,-30.1811,-50.2056,60.28,93,100,8.81
148,Westport,US,2021-09-05 21:17:53,41.1415,-73.3579,73.76,94,90,11.01
149,Saint-Philippe,RE,2021-09-05 21:17:53,-21.3585,55.7679,69.35,73,52,13.15
150,Buala,SB,2021-09-05 21:17:54,-8.145,159.5921,80.67,80,61,6.76
151,Rio Grande,BR,2021-09-05 21:17:54,-32.035,-52.0986,62.71,88,100,5.26
152,Iranshahr,IR,2021-09-05 21:17:54,27.2025,60.6848,93.54,12,0,11.5
153,Nanortalik,GL,2021-09-05 21:17:55,60.1432,-45.2371,41.95,77,55,9.62
154,Klaksvik,FO,2021-09-05 21:17:55,62.2266,-6.589,54.52,93,99,19.73
155,Bengkulu,ID,2021-09-05 21:17:56,-3.8004,102.2655,74.59,90,71,3.04
156,Adrar,MR,2021-09-05 21:17:56,20.5022,-10.0711,98.55,16,7,3.0
157,Namatanai,PG,2021-09-05 21:17:57,-3.6667,152.4333,79.66,82,40,7.27
